OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27
ASV362	0.000181004	0.000271505	0.000271505	0.000769266	0.000769266	0.000452509	0.00099552	0.000814516	0.001221775	0.001855288	0.001810037	0.001674284	0.002036291	0.001855288	0.002036291	0.002036291	0.002126793	0.001538531	0.001086022	0.00099552	0.000814516	0.001086022	0.000859767	0.000543011	0.000724015	0	0.000407258
ASV369	0.000181004	0.001312277	0.003031811	0.003348568	0.004253586	0.00298656	0.002896059	0.000724015	0.000226255	0.000724015	0.000362007	0.000588262	0.000226255	0.00049776	0.000316756	0.000407258	0.000452509	0.000226255	0.000316756	0.000226255	0.000633513	0.000452509	0.000814516	0.000633513	0.000407258	0.000769266	0.000543011
ASV426	0.000181004	9.05018E-05	0.000271505	0.000407258	0.000588262	0.000633513	0.001086022	0.001086022	0.00149328	0.001040771	0.000814516	0.001176524	0.000588262	0.000678764	0.000950269	0.001312277	0.001086022	0.001040771	0.001448029	0.00149328	0.001221775	0.001221775	0.001131273	0.001312277	0.001086022	0.000316756	0.00049776
ASV443	0.000181004	0.000633513	0.000769266	0.000859767	0.000543011	0.000950269	0.001312277	0.000859767	0.000678764	0.001221775	0.001810037	0.001176524	0.001221775	0.001131273	0.000950269	0.000859767	0.000859767	0.001040771	0.000678764	0.000543011	0.000859767	0.000905018	0.00049776	0.000362007	0.000362007	0.000452509	0.000407258
ASV444	0.000181004	0.000543011	0.000859767	0.00049776	0.000362007	0.000769266	0.001267026	0.001312277	0.001312277	0.001221775	0.002036291	0.002081542	0.000859767	0.00099552	0.000452509	0.000724015	0.000769266	0.00049776	0.000769266	0.00049776	0.001040771	0.001267026	0.000633513	0.000769266	0.000633513	0.000362007	0.000271505
ASV448	0.000181004	0.000316756	0.000950269	0.001312277	0.00099552	0.001086022	0.001267026	0.001131273	0.001131273	0.001221775	0.000905018	0.00149328	0.00099552	0.001086022	0.000769266	0.001719535	0.001131273	0.00099552	0.000859767	0.000543011	0.000950269	0.000271505	0.000271505	0.000316756	0.000135753	0.000135753	0.000181004
ASV458	0.000181004	0.000135753	0.000407258	0.000271505	0.000181004	0.000226255	9.05018E-05	0.000271505	4.52509E-05	0.000181004	0	9.05018E-05	9.05018E-05	0.000271505	0.000362007	0.000678764	0.000543011	0.000452509	0.000135753	0.000181004	0.000452509	0.000362007	0.000271505	0.000271505	0.000271505	0.000316756	0.000271505
ASV522	0.000181004	0.000316756	0.000724015	0.000588262	0.00049776	0.000362007	0.000724015	0.000543011	0.000181004	0.000543011	0.000950269	0.001267026	0.001267026	0.000633513	0.000950269	0.000724015	0.000905018	0.000859767	0.000543011	0.000588262	0.000633513	0.000678764	0.000543011	0.000905018	0.000814516	0.00099552	0.001040771
ASV527	0.000181004	0.000543011	0.001945789	0	0.002036291	0.000950269	0	0.000814516	0.000814516	0.000724015	0.001086022	0.00049776	0.000678764	0.000271505	0.00049776	0.000316756	0.00099552	0.001629033	0.000678764	0.00049776	0.000181004	0.000407258	0.000769266	0.000181004	0.000588262	0.000271505	0.001040771
ASV531	0.000181004	0.000678764	0.000362007	0.000588262	0.000859767	0.000769266	0.001448029	0.001176524	0.000633513	0.000678764	0.000678764	0.000950269	0.001086022	0.000452509	0.000950269	0.000588262	0.000543011	0.000588262	0.000588262	0	0.00049776	0.000814516	0.00049776	0.000724015	0.000814516	0.000543011	0.000633513
ASV547	0.000181004	0.000316756	0.000362007	0.000407258	0.000678764	0.000678764	0.000905018	0.000905018	0.000543011	0.000905018	0.000950269	0.000905018	0.001267026	0.00099552	0.000950269	0.000678764	0.000724015	0.00049776	0.000588262	0.000588262	0.000588262	0.000678764	0.000633513	0.000362007	0.00049776	0.000316756	0.000362007
ASV613	0.000181004	0.000271505	0.000452509	0.000633513	0.000543011	0.000633513	0.000950269	0.000588262	0.000271505	0.000543011	0.000859767	0.001086022	0.000543011	0.000588262	0.000859767	0.000633513	0.000724015	0.000678764	0.000407258	0.000316756	0.000452509	0.000543011	0.000588262	0.000452509	0.00049776	0.000633513	0.000226255
ASV641	0.000181004	0	0.000135753	0	0.000181004	0	0	0.000316756	0.000678764	0.000769266	0.000859767	0.000905018	0.000769266	0.000633513	0.000950269	0.000724015	0.001131273	0.000950269	0.001176524	0.000769266	0.000633513	0.000452509	0.000588262	0.000362007	0.000362007	0.000226255	0.000226255
ASV644	0.000181004	0	0	0	0	0.000135753	0	0	0	0	0	0.000135753	0	0.000135753	0	0	0.000181004	0	0	0	0	0	0	0.00049776	0	0	0
ASV723	0.000181004	0.000633513	0.000271505	0.000452509	0.000407258	0.000407258	0.00049776	0.000452509	0.000678764	0.000814516	0.000724015	0.000724015	0.000633513	0.000678764	0.000633513	0.000543011	0.000769266	0.000407258	0.000362007	0.000135753	0.000181004	0.000135753	0.000181004	0	0.000135753	4.52509E-05	0.000181004
ASV738	0.000181004	0.000678764	0.001810037	0.000135753	0.001312277	0.000724015	0.000135753	0.000452509	0.00049776	0.00049776	0.00049776	0.000543011	0.00049776	0	0.00049776	0.000271505	0.000588262	0.000588262	0.000316756	0.000452509	0	0	0	0	0.000316756	0	0.000633513
ASV752	0.000181004	0.000316756	0.000407258	0.000362007	0.000362007	9.05018E-05	0.000271505	0.000135753	0	0	0.000271505	0	0	0.000181004	9.05018E-05	0.000135753	0.000226255	0	0.000226255	0.000181004	9.05018E-05	0	0.000316756	0.000181004	0.000135753	0.000362007	9.05018E-05
ASV763	0.000181004	0.000271505	0.000543011	0.000678764	0.000769266	0.000271505	0.000362007	0.000678764	0.000271505	0.000271505	0.000814516	0.000362007	0.000271505	0.000407258	0.000362007	0.000452509	0.000181004	0.000226255	0.000452509	0.000362007	0.000543011	0.000543011	0.000181004	0.000226255	0.000135753	0	0.000452509
ASV839	0.000181004	0.000181004	0.000181004	0.000226255	0	0.000135753	0.000362007	0.000226255	0.000543011	0.000543011	0.00049776	0.001040771	0.000588262	0.000769266	0.000452509	0.000588262	0.000633513	0.000407258	0.000362007	0.000316756	0.000362007	0.000271505	0.000271505	0	0.000407258	0.000271505	0.000181004
ASV868	0.000181004	0.000271505	0.000181004	0.000407258	0.000316756	0.000316756	0.000407258	0.000407258	0.000271505	0.000452509	0	0.000135753	0.000407258	0.000633513	0.000316756	0.000135753	0.000135753	0	0	4.52509E-05	0	0	0	0	9.05018E-05	0	0
ASV895	0.000181004	0.000452509	0.000678764	0.000633513	0.000543011	0.000316756	0.001221775	0.000859767	0.000543011	0.000316756	0.000226255	0.000135753	0.000135753	9.05018E-05	4.52509E-05	4.52509E-05	0	0	0	9.05018E-05	0.000135753	0	4.52509E-05	0.000181004	9.05018E-05	0.000135753	0.000226255
ASV896	0.000181004	4.52509E-05	0.000226255	0.000316756	0.000226255	0.000271505	0.000226255	0.000271505	0.000362007	0.000407258	0.000181004	0.000316756	0.000362007	0.000362007	0.000588262	0.000271505	0.000316756	0.00049776	0.000407258	0.000226255	0.000135753	0.000407258	0.000181004	0.000181004	0	0	0.000316756
ASV906	0.000181004	0.000226255	0.000316756	0.000407258	0.000316756	9.05018E-05	0.000181004	0.000135753	0	0.000181004	0	0.000316756	0.000135753	0.000226255	0.000226255	0.000271505	0.000271505	0.000271505	0.000316756	0.000271505	0.001221775	0.000588262	0.000588262	0.000407258	0.000226255	0.000271505	0.001176524
ASV909	0.000181004	0	0.000271505	0.000271505	0	0.000407258	0	0.000407258	0.00049776	0.000452509	0.000633513	0.000543011	0.00049776	0.000633513	0	0.000452509	0.000678764	0.000678764	0	0.000316756	0.000316756	0	0.000362007	0.000362007	0.000226255	0.000181004	0.000362007
ASV931	0.000181004	0.000724015	0.00049776	0.000452509	0.000226255	0.000316756	0.00049776	0.000135753	0	0	0	0	0	0	4.52509E-05	0.000181004	0.000181004	0.000135753	0.000181004	0.000181004	0.000226255	0	0.000181004	0.000135753	0.000271505	0.000362007	0.000588262
ASV990	0.000181004	0.000452509	0.000543011	0.000588262	0.000271505	0.000226255	0.000633513	0.000588262	0.000316756	0.000316756	0.000362007	0.000316756	9.05018E-05	0.000226255	0.000226255	0.000181004	0.000181004	4.52509E-05	0.000181004	0.000226255	0.000181004	9.05018E-05	0.000181004	9.05018E-05	0.000226255	4.52509E-05	0.000181004
